date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:00:03	91226/91226	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Jul%202023%2017:55:54%20GMT	https://website/build/assets/img/ecommerce/product-details/2.png	C:/My%20Web%20Sites/synto/website/build/assets/img/ecommerce/product-details/2.png	(from https://website/products-details)
04:00:03	121547/121547	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Jul%202023%2017:55:54%20GMT	https://website/build/assets/img/ecommerce/product-details/1.png	C:/My%20Web%20Sites/synto/website/build/assets/img/ecommerce/product-details/1.png	(from https://website/products-details)
04:00:04	195861/195861	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Jul%202023%2017:55:54%20GMT	https://website/build/assets/img/ecommerce/product-details/3.png	C:/My%20Web%20Sites/synto/website/build/assets/img/ecommerce/product-details/3.png	(from https://website/products-details)
04:00:04	194386/194386	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Jul%202023%2017:55:54%20GMT	https://website/build/assets/img/ecommerce/product-details/4.png	C:/My%20Web%20Sites/synto/website/build/assets/img/ecommerce/product-details/4.png	(from https://website/products-details)
04:00:05	137277/137277	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Jul%202023%2017:55:54%20GMT	https://website/build/assets/img/ecommerce/product-details/5.png	C:/My%20Web%20Sites/synto/website/build/assets/img/ecommerce/product-details/5.png	(from https://website/products-details)
04:00:06	150748/150748	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Jul%202023%2017:55:54%20GMT	https://website/build/assets/img/ecommerce/product-details/7.png	C:/My%20Web%20Sites/synto/website/build/assets/img/ecommerce/product-details/7.png	(from https://website/products-details)
04:00:06	134411/134411	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Jul%202023%2017:55:54%20GMT	https://website/build/assets/img/ecommerce/product-details/6.png	C:/My%20Web%20Sites/synto/website/build/assets/img/ecommerce/product-details/6.png	(from https://website/products-details)
04:00:06	885/885	---M--	200	added ('OK')	application/javascript	date:Thu,%2020%20Jul%202023%2016:01:20%20GMT	https://website/build/assets/product-a9488a76.js	C:/My%20Web%20Sites/synto/website/build/assets/product-a9488a76.js	(from https://website/products-details)
04:00:06	157929/157929	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Jul%202023%2017:55:54%20GMT	https://website/build/assets/img/ecommerce/product-details/8.png	C:/My%20Web%20Sites/synto/website/build/assets/img/ecommerce/product-details/8.png	(from https://website/products-details)
04:00:07	48398/48398	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Jul%202023%2017:55:54%20GMT	https://website/build/assets/img/logos/3.png	C:/My%20Web%20Sites/synto/website/build/assets/img/logos/3.png	(from https://website/profile)
04:00:07	40939/40939	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Jul%202023%2017:55:54%20GMT	https://website/build/assets/img/logos/2.png	C:/My%20Web%20Sites/synto/website/build/assets/img/logos/2.png	(from https://website/profile)
04:00:08	32693/32693	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Jul%202023%2017:55:54%20GMT	https://website/build/assets/img/logos/5.png	C:/My%20Web%20Sites/synto/website/build/assets/img/logos/5.png	(from https://website/profile)
04:00:08	36959/36959	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Jul%202023%2017:55:54%20GMT	https://website/build/assets/img/logos/7.png	C:/My%20Web%20Sites/synto/website/build/assets/img/logos/7.png	(from https://website/profile)
04:00:08	23446/23446	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Jul%202023%2017:55:54%20GMT	https://website/build/assets/img/logos/9.png	C:/My%20Web%20Sites/synto/website/build/assets/img/logos/9.png	(from https://website/profile)
04:00:08	940/940	---M--	200	added ('OK')	application/javascript	date:Thu,%2020%20Jul%202023%2016:01:20%20GMT	https://website/build/assets/profile-dd72af4e.js	C:/My%20Web%20Sites/synto/website/build/assets/profile-dd72af4e.js	(from https://website/profile)
04:00:09	6603/6603	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2027%20Aug%202023%2022:30:12%20GMT	https://website/twitter.com/spruko.me	C:/My%20Web%20Sites/synto/website/twitter.com/spruko.me	(from https://website/profile-settings)
04:00:09	1130/1130	---M--	200	added ('OK')	application/javascript	date:Thu,%2020%20Jul%202023%2016:01:20%20GMT	https://website/build/assets/profile-settings-33992f86.js	C:/My%20Web%20Sites/synto/website/build/assets/profile-settings-33992f86.js	(from https://website/profile-settings)
04:00:10	1422736/1422736	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Jul%202023%2017:55:54%20GMT	https://website/build/assets/img/png-images/2.png	C:/My%20Web%20Sites/synto/website/build/assets/img/png-images/2.png	(from https://website/profile)
04:00:10	1441/1441	---M--	200	added ('OK')	application/javascript	date:Thu,%2020%20Jul%202023%2016:01:20%20GMT	https://website/build/assets/quill-6141eaad.js	C:/My%20Web%20Sites/synto/website/build/assets/quill-6141eaad.js	(from https://website/quil-editor)
04:00:10	711/711	---M--	200	added ('OK')	text/css	date:Mon,%2003%20Jul%202023%2017:55:54%20GMT	https://website/build/assets/libs/rangeslider-js/styles.min.css	C:/My%20Web%20Sites/synto/website/build/assets/libs/rangeslider-js/styles.min.css	(from https://website/rangeslider)
04:00:11	4220/4220	---M--	200	added ('OK')	text/css	date:Mon,%2003%20Jul%202023%2017:55:54%20GMT	https://website/build/assets/libs/nouislider/nouislider.min.css	C:/My%20Web%20Sites/synto/website/build/assets/libs/nouislider/nouislider.min.css	(from https://website/rangeslider)
04:00:11	11051/11051	---M--	200	added ('OK')	application/javascript	date:Mon,%2003%20Jul%202023%2017:55:54%20GMT	https://website/build/assets/libs/rangeslider-js/rangeslider-js.min.js	C:/My%20Web%20Sites/synto/website/build/assets/libs/rangeslider-js/rangeslider-js.min.js	(from https://website/rangeslider)
04:00:11	26682/26682	---M--	200	added ('OK')	application/javascript	date:Mon,%2003%20Jul%202023%2017:55:54%20GMT	https://website/build/assets/libs/nouislider/nouislider.min.js	C:/My%20Web%20Sites/synto/website/build/assets/libs/nouislider/nouislider.min.js	(from https://website/rangeslider)
04:00:12	2235/2235	---M--	200	added ('OK')	application/javascript	date:Mon,%2003%20Jul%202023%2017:56:14%20GMT	https://website/build/assets/libs/wnumb/wNumb.min.js	C:/My%20Web%20Sites/synto/website/build/assets/libs/wnumb/wNumb.min.js	(from https://website/rangeslider)
04:00:12	5646/5646	---M--	200	added ('OK')	application/javascript	date:Thu,%2020%20Jul%202023%2016:01:20%20GMT	https://website/build/assets/rangeslider-2d3cd094.js	C:/My%20Web%20Sites/synto/website/build/assets/rangeslider-2d3cd094.js	(from https://website/rangeslider)
04:00:12	3626/3626	---M--	200	added ('OK')	application/javascript	date:Thu,%2020%20Jul%202023%2016:01:20%20GMT	https://website/build/assets/rating-ad893bd6.js	C:/My%20Web%20Sites/synto/website/build/assets/rating-ad893bd6.js	(from https://website/ratings)
04:00:13	283/283	---M--	200	added ('OK')	application/javascript	date:Thu,%2020%20Jul%202023%2016:01:20%20GMT	https://website/build/assets/reviews-4b62172c.js	C:/My%20Web%20Sites/synto/website/build/assets/reviews-4b62172c.js	(from https://website/reviews)
04:00:14	537/537	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Jul%202023%2017:55:54%20GMT	https://website/build/assets/img/authentication/social/1.png	C:/My%20Web%20Sites/synto/website/build/assets/img/authentication/social/1.png	(from https://website/signin)
04:00:14	21482/21482	---M--	200	added ('OK')	text/css	date:Mon,%2003%20Jul%202023%2017:56:10%20GMT	https://website/build/assets/libs/sweetalert2/sweetalert2.min.css	C:/My%20Web%20Sites/synto/website/build/assets/libs/sweetalert2/sweetalert2.min.css	(from https://website/sweetalert)
04:00:15	71750/71750	---M--	200	added ('OK')	text/css	date:Mon,%2003%20Jul%202023%2017:55:54%20GMT	https://website/build/assets/libs/animate.css/animate.min.css	C:/My%20Web%20Sites/synto/website/build/assets/libs/animate.css/animate.min.css	(from https://website/sweetalert)
04:00:15	43605/43605	---M--	200	added ('OK')	application/javascript	date:Mon,%2003%20Jul%202023%2017:56:10%20GMT	https://website/build/assets/libs/sweetalert2/sweetalert2.min.js	C:/My%20Web%20Sites/synto/website/build/assets/libs/sweetalert2/sweetalert2.min.js	(from https://website/sweetalert)
04:00:16	4345/4345	---M--	200	added ('OK')	application/javascript	date:Thu,%2020%20Jul%202023%2016:01:20%20GMT	https://website/build/assets/swetalert-af542c8d.js	C:/My%20Web%20Sites/synto/website/build/assets/swetalert-af542c8d.js	(from https://website/sweetalert)
04:00:19	709/709	---M--	200	added ('OK')	application/javascript	date:Thu,%2020%20Jul%202023%2016:01:20%20GMT	https://website/build/assets/tasks-f9ba2733.js	C:/My%20Web%20Sites/synto/website/build/assets/tasks-f9ba2733.js	(from https://website/tasks)
04:00:20	201/201	---M--	200	added ('OK')	application/javascript	date:Thu,%2020%20Jul%202023%2016:01:20%20GMT	https://website/build/assets/team-66caf559.js	C:/My%20Web%20Sites/synto/website/build/assets/team-66caf559.js	(from https://website/teams)
